Channel Name,Video Address,Title,Views,Face in Thumbnail?,Word Count in Thumbnail,Views Ranking Within Channel,Brightness Ranking Within Channel,Saturation Ranking Within Channel,Genre,Brightness,Saturation,Date
Veritasium,Q1bSDnuIPbo,How did they actually take this picture? (Very Long Baseline Interferometry),6200000,No,2,1,3,8,Educational,18.22,38.96,5/12/2022
Veritasium,evUfG3lrk5U,What Happens If A Star Explodes Near The Earth,7100000,Happy,0,2,8,4,Educational,40.9,21.95,11/15/2022
Veritasium,8DBhTXM_Br4,The Insane Math of Knot Theory,7800000,No,0,3,1,10,Educational,8.15,61.69,9/3/2023
Veritasium,esQyYGezS7c,The world depends on a collection of strange items - they’re not cheap,10000000,No,0,4,6,3,Educational,34.42,19.38,11/19/2022
Veritasium,oI_X2cMHNe0,How Electricity Actually Works,10000000,Happy,0,5,5,6,Educational,30.03,35.71,4/29/2022
Veritasium,rWVAzS5duAs,Getting Buried In Concrete To Explain How It Works,11000000,Happy,0,6,7,1,Educational,39.08,9.93,4/14/2023
Veritasium,DxL2HoqLbyA,The Most Misunderstood Concept in Physics,16000000,No,0,7,2,9,Educational,17.45,49.7,7/1/2023
Veritasium,HeQX2HjkcNo,Math’s Fundamental Flaw,27000000,No,1,8,9,2,Educational,42.54,14.01,5/22/2021
Veritasium,pir_muTzYM8,Inside The Navy’s Indoor Ocean,32000000,Sad,0,9,4,7,Educational,19.51,37.92,12/1/2022
Veritasium,GeyDf4ooPdo,Anti Gravity Wheel,34000000,Angry,0,10,10,5,Educational,46.29,33.25,3/17/2014
MarkRober,h8g9wfI9nGI,My Secret Warehouse Tour,34000000,Sad,0,1,10,8,Educational,43.47,34.78,6/15/2022
MarkRober,DOWDNBu9DkU,Amazing Invention- This Drone Will Change Everything,37000000,Fear,0,2,8,3,Educational,38.75,23.12,3/18/2023
MarkRober,lg5wznn3IBE,Backyard Squirrelympics 3.0- The Summer Games,38000000,No,0,3,9,6,Educational,40.39,25.58,10/23/2022
MarkRober,uBEL3YVzMwk,Robot Piano Catches Fire Playing Rush E (World’s Hardest Song),42000000,Fear,0,4,6,9,Educational,32.07,49.88,3/19/2022
MarkRober,2JAOTJxYqh8,Bed Bugs- What You've Been Told is Totally False,44000000,Happy,0,5,3,7,Educational,30.08,34.16,3/4/2023
